,label,sentence
164,1,"I had heard of John Garfield, but, didn't know him. I loved this movie. I had never heard of it. I just picked it up randomly. John Garfield is a boxer in the movie. He had been in real life also so he knew his part. He was a fugitive throughout the movie. Someone else killed a man. He character was blamed. He is befriended by a family who has questions and is not quite sure what to make of him. All sorts of minor plots ensue. My favorite was the scary swimming scene in a water tower where the water was deep and one Dead End Kid couldn't swim, AND none of them could get out.John's character saves the day. The Dead End Kids were great as his friends and followers. One of them right to the very end. Ann Sheridan played the family's daughter and John's eventual love interest. She was believable, but not lovable in my opinion-the only weak link in the movie."
171,0,"Its difficult to be too tough on Brad Sykes, a hard-working guy doing what he loves, there is an honesty about him that seems often lacking with other microbudget directors. Check out the minuscule crew credits on Camp Blood, there is none of the usual thanking everyone down to the pizza joint they ate in, its Brad and his buddies and thats it, no pretentious rubbish. Jennifer Ritchkoff isn't your average horror flick heroine, but does well enough for you to hardly notice, Bethany Zolt looks like a star and Joseph Haggerty is so funny it hurts. The Clown is hardly an original horror film bad guy, but the design is good, Shemp Moseley does a decent job of bringing him to life and the image clashes nicely with the rural backdrop. Camp Blood is horror as blue collar and basic as it gets, not a good thing, not a bad thing, just a thing."
193,1,"This movie is such a fine example of the greatness that is 80's entertainment. Oh don't get me wrong, most of the music back then sucked. I only ever liked the metal bands from the 80s. Bands that had some balls. Forget that whiny keyboard crap and all that 'life is horrible and I want to die' garbage. But the movies from the 80's are the best. They were all about nonsense and just having a good time. This movie exemplifies that! Party! Get naked! Get laid! WOOOOOOHOOOOO!"
195,1,"What's the most violent movie of all time? Rambo III? Commando? Robocop? Add these three very violent together, and you still won't equal the carnage in The Stabilizer, the wildest, silliest, craziest action movie I have ever seen. For one hundred minutes things blow up and people die in dozens of strange ways. It will make you laugh and cheer, and when it's all over you'll be more than a little exhausted. This movie is a buried gem, a cult classic sadly lacking a cult.  The Stabilizer is the nickname of our hero Peter Goldson (Peter O'Brian), a large oily man with a curly mullet. He arrives in Indonesia on the trail of the villainous and mean Greg Rainmaker. We know he is evil because he is only referred to by his full name (""I hate SCUM like Greg RAINmaker!"") and utilizes a method of killing that is so horrible I can't even utter it here. Wait, yes I can. He steps on people in spiky shoes. Greg Rainmaker: Cleat Killer.  When Greg Rainmaker isn't pouring alcohol on women for their sexual pleasure, he's kidnapping important professors and heading a huge underworld empire. It's up to Goldson (A Jewish action hero? Gevalt!) and his motley crew of sidekicks to stabilize the situation by killing everyone and blowing lots of stuff up. Maybe ""stabilize"" has a different meaning in Indonesia.  And the violence, oh the violence. This is a film unwilling, nay, uncapable, of letting five minutes of screen time go by without some sort of explosion, knifing, car crash, or squib interrupting the dialogue. The violence is extreme; not graphic and bloody, just really weird. For example, The Stabilizer & company invade one of Rainmaker's warehouses (by driving through a solid concrete wall on a motorcycle, of course). When perched on the balcony, with heavy fire coming from below, The Stabilizer does the one thing he can do. He drives off the balcony into the guy's head, his front tire bouncing off it like a basketball. Astounding.  From the overly-gratuitous love scenes (Both major female characters hop in the sack with the hero of their choice not two minutes after they speak to them alone for the first time) to the poorly dubbed dialogue (""Victor, you talented bastard!"") The Stabilizer has it all. This is a film for the ages, right up there with Citizen Kane and Gymkata. It is not widely available in release. If you find it anywhere for any price, buy it and relish the insanity.  "
196,1,"Susie Q is an original and isn't like those other bad Disney film, ***spoiler*** a boy named Zach moves to a new town and has trouble at school, he is good basketball. a girl in the 1950's died with her boyfriend, when their car was crashed off a bridge. Susie (Amy Jo Johnson) from the power rangers - pink ranger- is helping Zach as a ghost to get a necklace along the way he must explain to his sister about her ghost, and finally getting this necklace, Susie returns to the bridge she died on and then she gets in the ghostly car of her boyfriend and they float up. later as he misses her he finds a girl who looks just like her. (do you believe in reincarnation?)Susie Q is a good movie to see now and then but they barely give because Disney needs to fill everything up with stupid movies and shows i give it a  7/10"
214,1,"Let's not beat about the bush here, Taylor Hackford's undoubtedly slick movie has little to make it stand out from the biopic genre other than Jamie Foxx's exceptional, career-making performance. Remember the year they handed the special effects Oscar to the Terminator 2 boffins, uncontested? They should do the same with this year's Best Actor gong.  That Ray Charles' story is worthy of filming is not in dispute. Indeed, the many flashbacks to his traumatic childhood are well-handled and judiciously used. But for a life so unique, the film seems incredibly formulaic and familiar. It follows the 'history of a flawed genius' template almost to the letter: hardship and exploitation, women and drugs, recording wrangles, band squabbles, rehab, yeah yeah yeah. And surely there was more humour in his life than we're treated to here?  I appreciate Charles' music yet where neatly-cut medleys would have kept the story rolling, Hackford indulges himself with near-full-length renditions of too many songs - in gin joints, in the recording studio, in concert halls, infinitum. Narratively, and for non-devotees, they begin to act like a cinematic brake. This may seem like harsh judgement on a music biopic but with a catalogue as extensive as Ray's, we need a taste not the whole dish. Otherwise, we'd buy the albums.  Intrigued as I was, I glanced at my watch more than once. So for all Foxx's brilliance, maybe Ray would have been better served as an HBO two-parter?"
240,1,"I loved the movie ""Northfork"". I knew nothing about the movie before watching it. Therefore, I had no outside influence or information to guide me in what I was seeing unfold on the screen. In retrospect I would advise anyone interested in the movie to watch it if for no other reason than the quality actors who appear in it. Do not read anything about the plot, story line, or evaluation of the movie. In fact STOP reading anything further in my comments although I believe they are general and would not spoil the movie for you, I don't want to diminish the value of the movie to you. Find your own path of meaning in this film or it is diminished in its potential.  In general, I found the 3 benign strangers in Northfolk puzzling. As the movie unfolds, they could qualify as three entertaining escapees from a mental hospital or, the dreams and hallucinations of a sick and feverish young boy, or three angels ""sent"" to find the ""lost angel"".  The sick and perhaps dying boy works to convince the three ""strangers"" to abandon the search for the lost angel, become his guardians (mother & father), and take him safely far away from Northfork (no less than 1000 miles). He even declares that he is the lost angel to try to manipulate them all to be his guardian. Only one of the three responds to the boy on a positive basis. The other two have no real enthusiasm or passion for this involvement.  The priest who is nursing the sick boy demonstrates a depth of caring for people and a deep conviction toward his faith. He transcends the desolation and emptiness of Northfork and its people; he is the light of goodness and hope to both Northfork and to the movie viewer.  Near the climax of the movie, the boy and new guardian journey over land to a field where a plane waits. They board to find the other two strangers also on the plane; in fact one is the pilot. The engines start and the plane takes off.  Who are the 3 strangers? If only one stranger was interested in helping the boy why were all three on the plane? Where is the plane going? Did the other two find the ""Lost Angel""? Is there a lost angel and if so who is it? Who are the six men dressed like undertakers? If all of this is just the sick boy's feverish dreams, how did one of the 3 strangers end up reaching out to help one of the men dressed like an undertaker when he jumped and hit his head(neither the boy or strangers had contact with these men)?  One or two sentences written under the title telling people what this movie is about is a tragic mistake (this is not a spoiler, it's statement about advertising only). So if you haven't seen the movie, Northfork, the questions above show only a few of the interesting and fun forks in the road of thought when you view the film Northfork. If you read the advertising summary of the plot of the movie before you watched it previously, maybe you ought to look at some of the questions above and watch it again... I know I will.  Terry"
273,0,"The original ""Psycho"" (1960) is widely considered as Alfred Hitchcock's best work and certainly, in my opinion, is one of the best movies of all time. The decision to film a shot by shot remake is therefore, a little puzzling.  The cast in the original was flawless, so the cast of this remake had a lot to live up to. Vince Vaughn as Norman Bates was not a good choice for the lead. He is too much of a pretty boy hunk and is not very convincing as Bates. I can imagine actors such as Mark Wahlberg or John Turturro doing a much better job in the role. Anne Heche as Marion Crane does a creditable job, but one keeps mentally comparing her to Janet Leigh. Julianne Moore is a much better actress than she shows here and Viggio Mortenson merely walks through his role. The best of this new cast is William H. Macy as the private detective.  Although director Gus Van Sant does an acceptable job, he can't build the suspense the way Hitchcock did. And why did he change the scene in the basement of the house? In the original, the atmosphere is dark and damp and closed in, whereas in this version, it takes place in a brightly lit laboratory like setting. And I think the black & white photography of the original has a definite advantage over the color version.  Maybe another flaw could be the fact that most moviegoers have seen the original and know what is going to happen and when.  All I can say is if it ain't broke, don't fix it.  "
280,1,"I cannot hate on the show. When the old (and better) tech TV had to hit the bricks, the channel was reformatted and new shows stepped in. ""Attack of the Show"" is the replacement for the Screen Savers, with 3 co-hosts in the beginning. They were Kevin Rose, Kevin Pereira and Sarah Lane. Brendan Moran came to be something of a co-host as well, but he mostly did prerecorded pieces for the show. Kevin Rose decided to leave the show, and eventually there was a contest to see who would be the third host, but that didn't pan out for some reason.  Eventually (I just learned this from this very IMDb messageboard) Sarah Lane and Brendan Moran moved on because (hey, this is what I read) the two got married. That was a big secret to me! Now there is a new female co-host, the not-as-hot (my opinion) Olivia Munn. She's hiding something in those tops she wears, while Sarah Lane had a perfect body and she wasn't afraid to show it.  AHEM! Sorry.  ""Attack of the Show"" deals with everything young people want to know about. It's music, movies, comic books, the internet and television. This is what's great about the show. If you don't want to bother with scouring the net or waste time watching MTV, you can get all you want on AOTS. Some segments and bits they do are funny. They have regular guests and contributors who are in the industry, as well as guests who range from insignificant internet stars to actual big names.  Even though the hosts aren't as geek as I'd like them to be, I still have found ""Attack of the Show"" to be entertaining, even with its latest lineup."
294,0,"I have rarely laughed so hard at a movie. Notice that I laughed AT Iron Eagle, not WITH it, because this is probably the stupidest film I have ever seen (with the obvious exception of sci-fi monstrosity CyberTracker). You should also remember that this film is not a comedy!  Even overlooking the preposterous plot (the idea that a 16-year-old could walk into a US Air Force base, steal an F-16, fly to the Middle East and kill about a thousand people without anyone noticing is beyond belief), the film is full of ridiculous action scenes that make little or no sense. For example, at various points, Doug Masters uses a machine-gun on his plane to shoot a steel girder, a control tower, and a tent. All of these things explode in a massive fireball. Why? The enemy aircraft also explode in a strange way reminiscent of a paper aeroplane being blown up with a firework.  On the plus side, I did actually enjoy this film. Admittedly not in the way the makers probably wanted it to be enjoyed, but all the same I laughed at it and later bought the DVD. It's also improved by the awesome presence of David Suchet as the evil terrorist leader (maybe you'll recall him as mustachioed Belgian detective Poirot?) Overall, then, the film is a laugh and a light-hearted alternative to more serious fighter-plane movies like Top Gun. Even if it is just as subtly homo-erotic (check out the man-hug between Doug and Chappy. Something's going on between 'em!)"
307,0,"Specks of white and various shapes, a beautiful nude, random images. That is what this little experimental short film is.  It's kind of interesting to think how in the early days of film such images could be transferred onto film, but despite my love of a lot of surreal images and films, and a fascination with the bizarre, this film just didn't do it for me.  I'm not sorry I watched it, but if there is any underlying meaning in it, I don't get it. Visually, it is not that outstanding, in my humble opinion. As an example of dadaism, I suppose it would fit in quite well, since it seems to reject any semblance of logic or reason, though I would have preferred that it do it in a more visually interesting way.  But to each his own."
312,1,"(Warning: spoilers! -- although it's hard to spoil this film by telling story details.)  Eisenstein's black and white propaganda film is not for everyone. It's very old and it's, er, clumsy. What makes it great for me is the soundtrack, not the original but the updated soundtrack. Better still, the orchestral version Prokofiev created (my favorite performance is by Fritz Reiner and the Chicago Symphony).  The film is actually funny in places. It's reminiscent of the old ""Midsummer Night's Dream"". Some of the outdoor scenes are quite magnificent. Some of the actors are also quite magnificent. (The actor who played Nevsky could have been a superstar today. Ditto for the warrior chick, Vasilisa -- definitely a rocker.)   This may be the world's best collection, on film, of pithy Russian sayings (there are tons of them -- they make up the bulk of the spoken lines).  The battle scenes actually look much more realistic than most high-budget Hollywood flix. These guys are as clumsy with their fighting as real peasants would be. The weapons look nasty, so the actors were probably trying to avoid actually wounding one another.  The actor playing the German ""grand marshall"" is trying *really* hard to look scary early in the film, but he looks like he was really a pussycat. After he's captured he looks *so* pathetic. (Speaks volumes about the intended audience, da?)  A really humorous touch is that the German army brings an *organ* with it, played by a character in a black robe. Watch the Russians bring this guy down *while* he's playing.  After the battle is over and almost all of the Germans are dead comes the best part of the film (and the music), the song sung to the dead soldiers who've died defending the motherland. This part is so sad it's almost an anti-war statement.  Ten times as many men as ladies have rated this film. Wonder why?  Warning: Joseph Stalin liked this film. Ironic -- he killed more Russians than anybody. ""Those who come to Russia carrying a sword will die by the sword""."
329,1,"I didn't really think this movie was bad. Sure, the detective kinda sucked at what he did, and he usually happened upon Capt. Howdy by accident, but he got the job done. Capt. Howdy himself was pretty scary. The make-up artist did a great job. I really liked seeing Dee dressed up all geeky. I laughed so hard when I saw that. I personally don't see how someone can sit through crap like Texas Chainsaw Massacre and call it a great movie, and then watch Strangeland, which is more disturbing because a lot of it could actually happen with the internet being so popular, and call it bad. I personally think that Texas Chainsaw Massacre was loads of crap. Probably one of the stupidest movies that I've ever seen. I enjoyed Strangeland. It was a very disturbing movie because almost all of it actually happens."
339,1,"Normally, I do not review online, but it's Saturday and I'm trapped in my room, on a rainy day with nothing to do but watch sci-fi movies and Xena: Warrior Princess (I can't get the damned 'Joxer the Mighty' song out of my head, it's been there for the past ten years or so, just pops up randomly when someone(me) does something idiotic). If you have any complaints about this movie, and actually post them on the internet, do you have ANY idea how much of an idiot you look like? If you expect more out of Bruce Campbell than what he puts out (in the most literal sense) than why in G-d's holy name do you watch his movies? No one watches a Bruce Campbell movie when they want to see something genius and intelligible, we watch them so we feel better about ourselves (like those people who watch Jerry Springer and eat Chunky Monkey), and to be easily entertained by mindless psycho-babble. I, personally, love Bruce Campbell movies. I'm not a complete idiot, in fact, I see myself as an intellectual and a scholar(haha, shut up, Ally). His movies reflect insane, random, quirky, ridiculous ideals which anyone with a brain, screaming or no, can enjoy. That, and he was kind of sexy on Xena: Warrior Princess, even with the facial hair. I rate this movie an excellent 10, just because I can. If you can't take simplistic plot-schemes (if any), hot babes in sci-fi splendor(leather, spandex), and familiar if not exhausted views of insanity, then fer cryin' out loud, don't watch the movie(or any that so much as mention the name Bruce Campbell). Oh yeah, Ted Raimi was awesome in this movie! Way to go Ted! You did the best with what you had. ;|"
